Address,Property Type,Sq. Ft.,Owner,Market Value,Assessed Value,Tax,Penalty,Interest,Total
3513 MAIN ST,RESIDENTIAL A,"7,789",3513 MAIN ST LAND TR Fee Owner,"$845,456","$199,683",$0,$0.00,$0.00,$0.00
2460 MAIN ST,RESIDENTIAL B,"2,093",2460 MAIN ST LAND TR Fee Owner,"$791,986","$120,893",$0,$0.00,$0.00,$0.00
7923 MAIN ST,COMMERCIAL A,"2,221",7923 MAIN ST LAND TR Fee Owner,"$920,896","$91,059",$0,$0.00,$0.00,$0.00
3919 MAIN ST,COMMERCIAL B,"9,686",3919 MAIN ST LAND TR Fee Owner,"$844,830","$26,700",$0,$0.00,$0.00,$0.00
5400 MAIN ST,RESIDENTIAL B,"8,795",5400 MAIN ST LAND TR Fee Owner,"$311,410","$80,401",$0,$0.00,$0.00,$0.00
6661 MAIN ST,RESIDENTIAL A,"7,924",6661 MAIN ST LAND TR Fee Owner,"$300,467","$52,928",$0,$0.00,$0.00,$0.00
2365 MAIN ST,COMMERCIAL A,"6,605",2365 MAIN ST LAND TR Fee Owner,"$56,905","$104,262",$0,$0.00,$0.00,$0.00
3874 MAIN ST,COMMERCIAL A,"6,207",3874 MAIN ST LAND TR Fee Owner,"$986,494","$121,884",$0,$0.00,$0.00,$0.00
4678 MAIN ST,COMMERCIAL A,"9,690",4678 MAIN ST LAND TR Fee Owner,"$883,992","$85,332",$0,$0.00,$0.00,$0.00
1928 MAIN ST,RESIDENTIAL A,"4,530",1928 MAIN ST LAND TR Fee Owner,"$975,863","$51,697",$0,$0.00,$0.00,$0.00
9494 MAIN ST,RESIDENTIAL B,"9,358",9494 MAIN ST LAND TR Fee Owner,"$661,422","$195,370",$0,$0.00,$0.00,$0.00
3365 MAIN ST,COMMERCIAL A,"2,322",3365 MAIN ST LAND TR Fee Owner,"$441,880","$73,878",$0,$0.00,$0.00,$0.00
5749 MAIN ST,RESIDENTIAL A,"6,959",5749 MAIN ST LAND TR Fee Owner,"$52,620","$50,197",$0,$0.00,$0.00,$0.00
4140 MAIN ST,RESIDENTIAL A,"5,992",4140 MAIN ST LAND TR Fee Owner,"$312,013","$107,092",$0,$0.00,$0.00,$0.00
9879 MAIN ST,COMMERCIAL B,"2,090",9879 MAIN ST LAND TR Fee Owner,"$105,401","$54,498",$0,$0.00,$0.00,$0.00
6803 MAIN ST,COMMERCIAL A,"8,852",6803 MAIN ST LAND TR Fee Owner,"$712,058","$180,073",$0,$0.00,$0.00,$0.00
6322 MAIN ST,COMMERCIAL A,"4,289",6322 MAIN ST LAND TR Fee Owner,"$928,310","$198,521",$0,$0.00,$0.00,$0.00
2660 MAIN ST,RESIDENTIAL B,"1,330",2660 MAIN ST LAND TR Fee Owner,"$206,618","$67,329",$0,$0.00,$0.00,$0.00
7644 MAIN ST,COMMERCIAL B,"8,115",7644 MAIN ST LAND TR Fee Owner,"$346,429","$102,656",$0,$0.00,$0.00,$0.00
2937 MAIN ST,RESIDENTIAL B,"1,732",2937 MAIN ST LAND TR Fee Owner,"$300,377","$45,694",$0,$0.00,$0.00,$0.00
6317 MAIN ST,COMMERCIAL A,"2,982",6317 MAIN ST LAND TR Fee Owner,"$532,614","$108,441",$0,$0.00,$0.00,$0.00
2751 MAIN ST,COMMERCIAL B,"5,148",2751 MAIN ST LAND TR Fee Owner,"$751,888","$175,165",$0,$0.00,$0.00,$0.00
2960 MAIN ST,RESIDENTIAL A,"7,950",2960 MAIN ST LAND TR Fee Owner,"$907,445","$186,643",$0,$0.00,$0.00,$0.00
7051 MAIN ST,RESIDENTIAL A,"5,302",7051 MAIN ST LAND TR Fee Owner,"$730,698","$109,804",$0,$0.00,$0.00,$0.00
2017 MAIN ST,RESIDENTIAL B,"6,830",2017 MAIN ST LAND TR Fee Owner,"$776,560","$191,507",$0,$0.00,$0.00,$0.00
5697 MAIN ST,RESIDENTIAL A,"5,469",5697 MAIN ST LAND TR Fee Owner,"$979,886","$19,855",$0,$0.00,$0.00,$0.00
1715 MAIN ST,RESIDENTIAL B,"2,207",1715 MAIN ST LAND TR Fee Owner,"$100,058","$51,526",$0,$0.00,$0.00,$0.00
5281 MAIN ST,RESIDENTIAL B,"2,323",5281 MAIN ST LAND TR Fee Owner,"$555,472","$65,547",$0,$0.00,$0.00,$0.00
8642 MAIN ST,RESIDENTIAL A,"1,107",8642 MAIN ST LAND TR Fee Owner,"$500,604","$126,510",$0,$0.00,$0.00,$0.00
6305 MAIN ST,RESIDENTIAL A,"7,389",6305 MAIN ST LAND TR Fee Owner,"$596,422","$84,161",$0,$0.00,$0.00,$0.00
3142 MAIN ST,COMMERCIAL A,"6,441",3142 MAIN ST LAND TR Fee Owner,"$610,987","$112,526",$0,$0.00,$0.00,$0.00
3960 MAIN ST,COMMERCIAL A,"6,022",3960 MAIN ST LAND TR Fee Owner,"$90,030","$11,678",$0,$0.00,$0.00,$0.00
9169 MAIN ST,RESIDENTIAL A,"5,598",9169 MAIN ST LAND TR Fee Owner,"$318,483","$107,612",$0,$0.00,$0.00,$0.00
9063 MAIN ST,RESIDENTIAL A,"1,326",9063 MAIN ST LAND TR Fee Owner,"$740,929","$157,657",$0,$0.00,$0.00,$0.00
6865 MAIN ST,RESIDENTIAL A,"2,836",6865 MAIN ST LAND TR Fee Owner,"$276,136","$59,121",$0,$0.00,$0.00,$0.00
4635 MAIN ST,RESIDENTIAL B,"1,277",4635 MAIN ST LAND TR Fee Owner,"$809,402","$83,850",$0,$0.00,$0.00,$0.00
6243 MAIN ST,RESIDENTIAL B,"7,891",6243 MAIN ST LAND TR Fee Owner,"$950,381","$12,987",$0,$0.00,$0.00,$0.00
2615 MAIN ST,RESIDENTIAL B,"7,310",2615 MAIN ST LAND TR Fee Owner,"$160,854","$7,733",$0,$0.00,$0.00,$0.00
6989 MAIN ST,COMMERCIAL A,"6,744",6989 MAIN ST LAND TR Fee Owner,"$568,258","$185,611",$0,$0.00,$0.00,$0.00
4724 MAIN ST,COMMERCIAL B,"2,078",4724 MAIN ST LAND TR Fee Owner,"$456,394","$64,036",$0,$0.00,$0.00,$0.00
3098 MAIN ST,COMMERCIAL A,"1,483",3098 MAIN ST LAND TR Fee Owner,"$163,123","$129,739",$0,$0.00,$0.00,$0.00
1383 MAIN ST,RESIDENTIAL A,"6,978",1383 MAIN ST LAND TR Fee Owner,"$370,461","$30,554",$0,$0.00,$0.00,$0.00
7352 MAIN ST,RESIDENTIAL A,"2,640",7352 MAIN ST LAND TR Fee Owner,"$956,925","$151,178",$0,$0.00,$0.00,$0.00
9004 MAIN ST,COMMERCIAL A,"4,739",9004 MAIN ST LAND TR Fee Owner,"$724,911","$102,289",$0,$0.00,$0.00,$0.00
8330 MAIN ST,RESIDENTIAL B,"3,650",8330 MAIN ST LAND TR Fee Owner,"$537,751","$119,759",$0,$0.00,$0.00,$0.00
7951 MAIN ST,COMMERCIAL B,"3,152",7951 MAIN ST LAND TR Fee Owner,"$745,361","$42,662",$0,$0.00,$0.00,$0.00
9942 MAIN ST,COMMERCIAL B,"9,835",9942 MAIN ST LAND TR Fee Owner,"$538,098","$88,321",$0,$0.00,$0.00,$0.00
8606 MAIN ST,COMMERCIAL B,"8,884",8606 MAIN ST LAND TR Fee Owner,"$345,199","$149,615",$0,$0.00,$0.00,$0.00
3371 MAIN ST,RESIDENTIAL B,"4,099",3371 MAIN ST LAND TR Fee Owner,"$983,107","$194,707",$0,$0.00,$0.00,$0.00
7889 MAIN ST,COMMERCIAL B,"9,234",7889 MAIN ST LAND TR Fee Owner,"$699,796","$198,462",$0,$0.00,$0.00,$0.00
1356 MAIN ST,RESIDENTIAL A,"8,859",1356 MAIN ST LAND TR Fee Owner,"$574,831","$55,672",$0,$0.00,$0.00,$0.00
5420 MAIN ST,COMMERCIAL B,"6,498",5420 MAIN ST LAND TR Fee Owner,"$689,632","$53,402",$0,$0.00,$0.00,$0.00
4753 MAIN ST,RESIDENTIAL B,"1,270",4753 MAIN ST LAND TR Fee Owner,"$319,928","$121,532",$0,$0.00,$0.00,$0.00
3539 MAIN ST,RESIDENTIAL A,"3,610",3539 MAIN ST LAND TR Fee Owner,"$138,592","$57,826",$0,$0.00,$0.00,$0.00
7181 MAIN ST,COMMERCIAL A,"2,182",7181 MAIN ST LAND TR Fee Owner,"$899,599","$34,426",$0,$0.00,$0.00,$0.00
8302 MAIN ST,RESIDENTIAL A,"4,107",8302 MAIN ST LAND TR Fee Owner,"$438,347","$34,010",$0,$0.00,$0.00,$0.00
3612 MAIN ST,COMMERCIAL A,"1,173",3612 MAIN ST LAND TR Fee Owner,"$225,156","$134,545",$0,$0.00,$0.00,$0.00
6289 MAIN ST,RESIDENTIAL B,"8,148",6289 MAIN ST LAND TR Fee Owner,"$883,274","$120,523",$0,$0.00,$0.00,$0.00
9716 MAIN ST,RESIDENTIAL A,"8,370",9716 MAIN ST LAND TR Fee Owner,"$533,163","$49,142",$0,$0.00,$0.00,$0.00
5670 MAIN ST,COMMERCIAL A,"9,985",5670 MAIN ST LAND TR Fee Owner,"$156,939","$36,188",$0,$0.00,$0.00,$0.00
3752 MAIN ST,COMMERCIAL A,"3,050",3752 MAIN ST LAND TR Fee Owner,"$550,996","$155,931",$0,$0.00,$0.00,$0.00
4634 MAIN ST,RESIDENTIAL A,"6,063",4634 MAIN ST LAND TR Fee Owner,"$367,157","$150,557",$0,$0.00,$0.00,$0.00
6852 MAIN ST,RESIDENTIAL B,"5,534",6852 MAIN ST LAND TR Fee Owner,"$851,695","$125,554",$0,$0.00,$0.00,$0.00
8138 MAIN ST,RESIDENTIAL A,"5,218",8138 MAIN ST LAND TR Fee Owner,"$828,456","$26,830",$0,$0.00,$0.00,$0.00
3865 MAIN ST,COMMERCIAL A,"4,440",3865 MAIN ST LAND TR Fee Owner,"$228,592","$20,717",$0,$0.00,$0.00,$0.00
6364 MAIN ST,RESIDENTIAL B,"4,550",6364 MAIN ST LAND TR Fee Owner,"$574,268","$127,182",$0,$0.00,$0.00,$0.00
6125 MAIN ST,COMMERCIAL A,"8,690",6125 MAIN ST LAND TR Fee Owner,"$353,244","$190,957",$0,$0.00,$0.00,$0.00
3369 MAIN ST,RESIDENTIAL A,"8,957",3369 MAIN ST LAND TR Fee Owner,"$799,653","$153,426",$0,$0.00,$0.00,$0.00
4735 MAIN ST,COMMERCIAL B,"1,289",4735 MAIN ST LAND TR Fee Owner,"$930,750","$175,401",$0,$0.00,$0.00,$0.00
5582 MAIN ST,COMMERCIAL A,"4,387",5582 MAIN ST LAND TR Fee Owner,"$562,968","$116,300",$0,$0.00,$0.00,$0.00
1973 MAIN ST,COMMERCIAL A,"8,216",1973 MAIN ST LAND TR Fee Owner,"$217,770","$73,767",$0,$0.00,$0.00,$0.00
5217 MAIN ST,RESIDENTIAL B,"1,749",5217 MAIN ST LAND TR Fee Owner,"$535,051","$140,577",$0,$0.00,$0.00,$0.00
8661 MAIN ST,COMMERCIAL B,"5,012",8661 MAIN ST LAND TR Fee Owner,"$226,521","$153,303",$0,$0.00,$0.00,$0.00
2183 MAIN ST,COMMERCIAL A,"1,400",2183 MAIN ST LAND TR Fee Owner,"$943,956","$111,651",$0,$0.00,$0.00,$0.00
2875 MAIN ST,RESIDENTIAL B,"7,415",2875 MAIN ST LAND TR Fee Owner,"$775,095","$120,681",$0,$0.00,$0.00,$0.00
8618 MAIN ST,RESIDENTIAL A,"6,085",8618 MAIN ST LAND TR Fee Owner,"$58,068","$94,307",$0,$0.00,$0.00,$0.00
8103 MAIN ST,RESIDENTIAL A,"6,180",8103 MAIN ST LAND TR Fee Owner,"$114,003","$101,529",$0,$0.00,$0.00,$0.00
9199 MAIN ST,COMMERCIAL B,"4,394",9199 MAIN ST LAND TR Fee Owner,"$953,182","$79,751",$0,$0.00,$0.00,$0.00
1313 MAIN ST,RESIDENTIAL B,"1,782",1313 MAIN ST LAND TR Fee Owner,"$70,410","$47,457",$0,$0.00,$0.00,$0.00
1685 MAIN ST,RESIDENTIAL B,"3,749",1685 MAIN ST LAND TR Fee Owner,"$757,569","$147,863",$0,$0.00,$0.00,$0.00
3471 MAIN ST,COMMERCIAL A,"4,266",3471 MAIN ST LAND TR Fee Owner,"$387,970","$125,448",$0,$0.00,$0.00,$0.00
5798 MAIN ST,COMMERCIAL B,"2,475",5798 MAIN ST LAND TR Fee Owner,"$511,405","$59,703",$0,$0.00,$0.00,$0.00
1092 MAIN ST,COMMERCIAL A,"7,076",1092 MAIN ST LAND TR Fee Owner,"$462,503","$71,810",$0,$0.00,$0.00,$0.00
9872 MAIN ST,COMMERCIAL B,"2,063",9872 MAIN ST LAND TR Fee Owner,"$628,697","$137,338",$0,$0.00,$0.00,$0.00
1495 MAIN ST,RESIDENTIAL B,"7,088",1495 MAIN ST LAND TR Fee Owner,"$473,712","$35,070",$0,$0.00,$0.00,$0.00
8021 MAIN ST,COMMERCIAL A,"8,223",8021 MAIN ST LAND TR Fee Owner,"$51,731","$104,857",$0,$0.00,$0.00,$0.00
3384 MAIN ST,COMMERCIAL B,"7,186",3384 MAIN ST LAND TR Fee Owner,"$243,502","$189,536",$0,$0.00,$0.00,$0.00
2408 MAIN ST,COMMERCIAL A,"4,495",2408 MAIN ST LAND TR Fee Owner,"$107,515","$32,741",$0,$0.00,$0.00,$0.00
1582 MAIN ST,COMMERCIAL B,"4,531",1582 MAIN ST LAND TR Fee Owner,"$489,034","$96,228",$0,$0.00,$0.00,$0.00
1386 MAIN ST,RESIDENTIAL B,"4,214",1386 MAIN ST LAND TR Fee Owner,"$73,754","$25,121",$0,$0.00,$0.00,$0.00
6045 MAIN ST,RESIDENTIAL A,"5,429",6045 MAIN ST LAND TR Fee Owner,"$834,053","$63,848",$0,$0.00,$0.00,$0.00
8071 MAIN ST,RESIDENTIAL B,"2,486",8071 MAIN ST LAND TR Fee Owner,"$405,056","$37,305",$0,$0.00,$0.00,$0.00
5644 MAIN ST,RESIDENTIAL B,"8,320",5644 MAIN ST LAND TR Fee Owner,"$683,185","$66,484",$0,$0.00,$0.00,$0.00
5259 MAIN ST,RESIDENTIAL B,"7,924",5259 MAIN ST LAND TR Fee Owner,"$272,342","$188,239",$0,$0.00,$0.00,$0.00
1029 MAIN ST,RESIDENTIAL B,"4,118",1029 MAIN ST LAND TR Fee Owner,"$920,964","$123,510",$0,$0.00,$0.00,$0.00
6594 MAIN ST,COMMERCIAL B,"8,580",6594 MAIN ST LAND TR Fee Owner,"$849,157","$49,894",$0,$0.00,$0.00,$0.00
1482 MAIN ST,RESIDENTIAL B,"9,812",1482 MAIN ST LAND TR Fee Owner,"$860,887","$91,275",$0,$0.00,$0.00,$0.00
6851 MAIN ST,RESIDENTIAL A,"8,651",6851 MAIN ST LAND TR Fee Owner,"$191,660","$85,890",$0,$0.00,$0.00,$0.00
8708 MAIN ST,COMMERCIAL B,"7,654",8708 MAIN ST LAND TR Fee Owner,"$962,886","$20,188",$0,$0.00,$0.00,$0.00
9715 MAIN ST,RESIDENTIAL B,"6,316",9715 MAIN ST LAND TR Fee Owner,"$724,643","$146,554",$0,$0.00,$0.00,$0.00
3146 MAIN ST,COMMERCIAL A,"1,128",3146 MAIN ST LAND TR Fee Owner,"$569,847","$42,659",$0,$0.00,$0.00,$0.00
3029 MAIN ST,COMMERCIAL B,"9,105",3029 MAIN ST LAND TR Fee Owner,"$545,668","$30,596",$0,$0.00,$0.00,$0.00
5363 MAIN ST,COMMERCIAL A,"1,612",5363 MAIN ST LAND TR Fee Owner,"$477,377","$161,037",$0,$0.00,$0.00,$0.00
7808 MAIN ST,RESIDENTIAL A,"9,842",7808 MAIN ST LAND TR Fee Owner,"$635,384","$105,469",$0,$0.00,$0.00,$0.00
4569 MAIN ST,COMMERCIAL A,"3,053",4569 MAIN ST LAND TR Fee Owner,"$888,042","$27,310",$0,$0.00,$0.00,$0.00
9740 MAIN ST,RESIDENTIAL B,"2,226",9740 MAIN ST LAND TR Fee Owner,"$977,009","$43,650",$0,$0.00,$0.00,$0.00
5149 MAIN ST,RESIDENTIAL B,"3,266",5149 MAIN ST LAND TR Fee Owner,"$949,456","$115,446",$0,$0.00,$0.00,$0.00
8514 MAIN ST,COMMERCIAL A,"5,017",8514 MAIN ST LAND TR Fee Owner,"$419,538","$97,777",$0,$0.00,$0.00,$0.00
1332 MAIN ST,COMMERCIAL A,"4,194",1332 MAIN ST LAND TR Fee Owner,"$143,925","$156,112",$0,$0.00,$0.00,$0.00
6679 MAIN ST,COMMERCIAL A,"2,225",6679 MAIN ST LAND TR Fee Owner,"$483,722","$192,511",$0,$0.00,$0.00,$0.00
7445 MAIN ST,COMMERCIAL A,"3,472",7445 MAIN ST LAND TR Fee Owner,"$982,948","$163,068",$0,$0.00,$0.00,$0.00
8000 MAIN ST,RESIDENTIAL A,"7,458",8000 MAIN ST LAND TR Fee Owner,"$745,533","$180,582",$0,$0.00,$0.00,$0.00
4169 MAIN ST,COMMERCIAL A,"9,429",4169 MAIN ST LAND TR Fee Owner,"$850,895","$89,543",$0,$0.00,$0.00,$0.00
5555 MAIN ST,RESIDENTIAL B,"5,737",5555 MAIN ST LAND TR Fee Owner,"$674,915","$95,289",$0,$0.00,$0.00,$0.00
2606 MAIN ST,COMMERCIAL B,"7,443",2606 MAIN ST LAND TR Fee Owner,"$593,151","$26,605",$0,$0.00,$0.00,$0.00
8359 MAIN ST,COMMERCIAL B,"3,900",8359 MAIN ST LAND TR Fee Owner,"$959,885","$131,295",$0,$0.00,$0.00,$0.00
4460 MAIN ST,RESIDENTIAL A,"9,183",4460 MAIN ST LAND TR Fee Owner,"$729,205","$52,914",$0,$0.00,$0.00,$0.00
3665 MAIN ST,RESIDENTIAL B,"9,862",3665 MAIN ST LAND TR Fee Owner,"$647,659","$10,343",$0,$0.00,$0.00,$0.00
7142 MAIN ST,RESIDENTIAL A,"4,453",7142 MAIN ST LAND TR Fee Owner,"$662,153","$185,332",$0,$0.00,$0.00,$0.00
3908 MAIN ST,RESIDENTIAL B,"9,594",3908 MAIN ST LAND TR Fee Owner,"$947,976","$95,649",$0,$0.00,$0.00,$0.00
9857 MAIN ST,RESIDENTIAL B,"2,302",9857 MAIN ST LAND TR Fee Owner,"$643,007","$20,363",$0,$0.00,$0.00,$0.00
4294 MAIN ST,COMMERCIAL A,"9,593",4294 MAIN ST LAND TR Fee Owner,"$359,527","$163,169",$0,$0.00,$0.00,$0.00
2894 MAIN ST,COMMERCIAL B,"6,967",2894 MAIN ST LAND TR Fee Owner,"$777,864","$85,824",$0,$0.00,$0.00,$0.00
3277 MAIN ST,COMMERCIAL B,"1,163",3277 MAIN ST LAND TR Fee Owner,"$377,021","$150,344",$0,$0.00,$0.00,$0.00
5293 MAIN ST,RESIDENTIAL B,"9,019",5293 MAIN ST LAND TR Fee Owner,"$430,481","$55,352",$0,$0.00,$0.00,$0.00
3312 MAIN ST,COMMERCIAL A,"7,701",3312 MAIN ST LAND TR Fee Owner,"$500,299","$77,234",$0,$0.00,$0.00,$0.00
7317 MAIN ST,COMMERCIAL A,"6,875",7317 MAIN ST LAND TR Fee Owner,"$515,954","$132,093",$0,$0.00,$0.00,$0.00
4491 MAIN ST,COMMERCIAL A,"2,996",4491 MAIN ST LAND TR Fee Owner,"$74,350","$91,999",$0,$0.00,$0.00,$0.00
9042 MAIN ST,RESIDENTIAL B,"2,766",9042 MAIN ST LAND TR Fee Owner,"$358,585","$25,617",$0,$0.00,$0.00,$0.00
4374 MAIN ST,COMMERCIAL A,"7,475",4374 MAIN ST LAND TR Fee Owner,"$616,533","$105,731",$0,$0.00,$0.00,$0.00
7205 MAIN ST,COMMERCIAL B,"2,613",7205 MAIN ST LAND TR Fee Owner,"$732,034","$128,593",$0,$0.00,$0.00,$0.00
9043 MAIN ST,RESIDENTIAL B,"1,802",9043 MAIN ST LAND TR Fee Owner,"$512,446","$32,322",$0,$0.00,$0.00,$0.00
8263 MAIN ST,COMMERCIAL B,"5,408",8263 MAIN ST LAND TR Fee Owner,"$593,390","$117,036",$0,$0.00,$0.00,$0.00
9329 MAIN ST,RESIDENTIAL B,"9,734",9329 MAIN ST LAND TR Fee Owner,"$346,600","$186,056",$0,$0.00,$0.00,$0.00
9949 MAIN ST,RESIDENTIAL A,"3,104",9949 MAIN ST LAND TR Fee Owner,"$808,829","$69,214",$0,$0.00,$0.00,$0.00
4651 MAIN ST,RESIDENTIAL A,"4,696",4651 MAIN ST LAND TR Fee Owner,"$986,980","$163,388",$0,$0.00,$0.00,$0.00
7416 MAIN ST,RESIDENTIAL A,"5,468",7416 MAIN ST LAND TR Fee Owner,"$270,485","$13,344",$0,$0.00,$0.00,$0.00
7039 MAIN ST,COMMERCIAL B,"4,330",7039 MAIN ST LAND TR Fee Owner,"$912,228","$83,285",$0,$0.00,$0.00,$0.00
7369 MAIN ST,COMMERCIAL A,"1,259",7369 MAIN ST LAND TR Fee Owner,"$321,627","$180,490",$0,$0.00,$0.00,$0.00
6493 MAIN ST,RESIDENTIAL B,"8,226",6493 MAIN ST LAND TR Fee Owner,"$107,582","$17,533",$0,$0.00,$0.00,$0.00
6849 MAIN ST,RESIDENTIAL A,"7,089",6849 MAIN ST LAND TR Fee Owner,"$876,740","$29,945",$0,$0.00,$0.00,$0.00
5946 MAIN ST,RESIDENTIAL B,"4,707",5946 MAIN ST LAND TR Fee Owner,"$77,898","$111,835",$0,$0.00,$0.00,$0.00
4240 MAIN ST,RESIDENTIAL B,"7,630",4240 MAIN ST LAND TR Fee Owner,"$482,152","$147,579",$0,$0.00,$0.00,$0.00
1801 MAIN ST,COMMERCIAL A,"5,744",1801 MAIN ST LAND TR Fee Owner,"$732,136","$18,532",$0,$0.00,$0.00,$0.00
8122 MAIN ST,COMMERCIAL A,"4,268",8122 MAIN ST LAND TR Fee Owner,"$484,288","$187,687",$0,$0.00,$0.00,$0.00
2187 MAIN ST,COMMERCIAL B,"4,086",2187 MAIN ST LAND TR Fee Owner,"$522,090","$51,185",$0,$0.00,$0.00,$0.00
5656 MAIN ST,RESIDENTIAL A,"7,271",5656 MAIN ST LAND TR Fee Owner,"$634,440","$189,343",$0,$0.00,$0.00,$0.00
9172 MAIN ST,COMMERCIAL B,"2,454",9172 MAIN ST LAND TR Fee Owner,"$553,208","$115,998",$0,$0.00,$0.00,$0.00
4648 MAIN ST,COMMERCIAL A,"4,439",4648 MAIN ST LAND TR Fee Owner,"$233,157","$14,469",$0,$0.00,$0.00,$0.00
6521 MAIN ST,COMMERCIAL A,"6,655",6521 MAIN ST LAND TR Fee Owner,"$982,145","$64,477",$0,$0.00,$0.00,$0.00
3969 MAIN ST,COMMERCIAL B,"1,722",3969 MAIN ST LAND TR Fee Owner,"$412,344","$6,575",$0,$0.00,$0.00,$0.00
3979 MAIN ST,COMMERCIAL A,"6,654",3979 MAIN ST LAND TR Fee Owner,"$340,029","$133,045",$0,$0.00,$0.00,$0.00
4466 MAIN ST,RESIDENTIAL B,"3,787",4466 MAIN ST LAND TR Fee Owner,"$204,876","$54,397",$0,$0.00,$0.00,$0.00
7392 MAIN ST,COMMERCIAL B,"3,424",7392 MAIN ST LAND TR Fee Owner,"$965,162","$27,333",$0,$0.00,$0.00,$0.00
7756 MAIN ST,COMMERCIAL A,"5,192",7756 MAIN ST LAND TR Fee Owner,"$797,220","$150,868",$0,$0.00,$0.00,$0.00
1211 MAIN ST,RESIDENTIAL B,"1,244",1211 MAIN ST LAND TR Fee Owner,"$936,138","$6,682",$0,$0.00,$0.00,$0.00
8313 MAIN ST,COMMERCIAL B,"3,079",8313 MAIN ST LAND TR Fee Owner,"$777,625","$122,254",$0,$0.00,$0.00,$0.00
4491 MAIN ST,COMMERCIAL A,"8,202",4491 MAIN ST LAND TR Fee Owner,"$809,581","$59,100",$0,$0.00,$0.00,$0.00
3909 MAIN ST,RESIDENTIAL B,"7,091",3909 MAIN ST LAND TR Fee Owner,"$435,998","$171,496",$0,$0.00,$0.00,$0.00
8199 MAIN ST,RESIDENTIAL B,"1,822",8199 MAIN ST LAND TR Fee Owner,"$136,732","$50,871",$0,$0.00,$0.00,$0.00
6540 MAIN ST,COMMERCIAL B,"9,598",6540 MAIN ST LAND TR Fee Owner,"$850,223","$156,060",$0,$0.00,$0.00,$0.00
6341 MAIN ST,COMMERCIAL B,"1,289",6341 MAIN ST LAND TR Fee Owner,"$720,535","$117,323",$0,$0.00,$0.00,$0.00
9307 MAIN ST,RESIDENTIAL B,"7,957",9307 MAIN ST LAND TR Fee Owner,"$759,287","$25,253",$0,$0.00,$0.00,$0.00
7484 MAIN ST,RESIDENTIAL B,"4,301",7484 MAIN ST LAND TR Fee Owner,"$563,206","$16,606",$0,$0.00,$0.00,$0.00
9885 MAIN ST,RESIDENTIAL A,"4,213",9885 MAIN ST LAND TR Fee Owner,"$177,651","$26,617",$0,$0.00,$0.00,$0.00
7424 MAIN ST,COMMERCIAL A,"8,408",7424 MAIN ST LAND TR Fee Owner,"$523,719","$187,361",$0,$0.00,$0.00,$0.00
4266 MAIN ST,RESIDENTIAL B,"2,973",4266 MAIN ST LAND TR Fee Owner,"$735,544","$6,239",$0,$0.00,$0.00,$0.00
9071 MAIN ST,RESIDENTIAL A,"6,272",9071 MAIN ST LAND TR Fee Owner,"$449,783","$26,541",$0,$0.00,$0.00,$0.00
2914 MAIN ST,COMMERCIAL B,"1,930",2914 MAIN ST LAND TR Fee Owner,"$391,002","$8,111",$0,$0.00,$0.00,$0.00
6827 MAIN ST,RESIDENTIAL A,"5,793",6827 MAIN ST LAND TR Fee Owner,"$940,423","$114,549",$0,$0.00,$0.00,$0.00
6726 MAIN ST,RESIDENTIAL A,"6,608",6726 MAIN ST LAND TR Fee Owner,"$465,401","$88,776",$0,$0.00,$0.00,$0.00
7584 MAIN ST,RESIDENTIAL B,"6,375",7584 MAIN ST LAND TR Fee Owner,"$588,936","$56,760",$0,$0.00,$0.00,$0.00
9034 MAIN ST,COMMERCIAL A,"6,511",9034 MAIN ST LAND TR Fee Owner,"$916,787","$40,937",$0,$0.00,$0.00,$0.00
2927 MAIN ST,COMMERCIAL B,"2,108",2927 MAIN ST LAND TR Fee Owner,"$154,887","$126,867",$0,$0.00,$0.00,$0.00
6616 MAIN ST,COMMERCIAL A,"1,745",6616 MAIN ST LAND TR Fee Owner,"$110,031","$55,013",$0,$0.00,$0.00,$0.00
2834 MAIN ST,COMMERCIAL A,"2,296",2834 MAIN ST LAND TR Fee Owner,"$109,258","$43,037",$0,$0.00,$0.00,$0.00
3359 MAIN ST,COMMERCIAL A,"4,242",3359 MAIN ST LAND TR Fee Owner,"$319,568","$111,973",$0,$0.00,$0.00,$0.00
1678 MAIN ST,COMMERCIAL A,"4,354",1678 MAIN ST LAND TR Fee Owner,"$507,382","$194,897",$0,$0.00,$0.00,$0.00
7806 MAIN ST,RESIDENTIAL A,"6,757",7806 MAIN ST LAND TR Fee Owner,"$61,961","$142,898",$0,$0.00,$0.00,$0.00
8918 MAIN ST,RESIDENTIAL A,"9,181",8918 MAIN ST LAND TR Fee Owner,"$636,977","$155,707",$0,$0.00,$0.00,$0.00
5167 MAIN ST,COMMERCIAL A,"3,358",5167 MAIN ST LAND TR Fee Owner,"$831,811","$27,315",$0,$0.00,$0.00,$0.00
1614 MAIN ST,RESIDENTIAL A,"1,226",1614 MAIN ST LAND TR Fee Owner,"$817,913","$175,598",$0,$0.00,$0.00,$0.00
9889 MAIN ST,RESIDENTIAL B,"9,841",9889 MAIN ST LAND TR Fee Owner,"$900,845","$45,260",$0,$0.00,$0.00,$0.00
2100 MAIN ST,COMMERCIAL A,"4,736",2100 MAIN ST LAND TR Fee Owner,"$492,910","$126,080",$0,$0.00,$0.00,$0.00
